code,component_size,material,colour,size,thickness,base_unit,mode,per_pallet,per_box,m2_per_unit,active,note
IN-CLOUPINK-600X1200-9,,Indoor,Cloud Pink,600/1200,9 mm,slab,fixed,64,2,0.72,YES,
LS-BLACLARG-600X600-22,,Limestone,Black Limestone Large,600/600,22 mm,slab,fixed,38,0,0.36,YES,
LS-BLACSMAL-600X600-22,,Limestone,Black Limestone Small,600/600,22 mm,slab,fixed,28,0,0.36,YES,
PC-COPPBATC-600X900-16,,Porcelain,Copper Slate Old Batch,600/900,16 mm,slab,fixed,52,2,0.54,YES,
PC-ANTHRACI-600X900-20,,Porcelain,Anthracite,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-SANSWHIT-600X900-20,,Porcelain,Sansar Cloud White,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-CLORMIDN-600X600-16,,Porcelain,Clorado Light Midnight,600/600,16 mm,slab,fixed,80,2,0.36,YES,name differs from the store listing; mapped by size and thickness in the site
PC-CLORSUMM-600X600-16,,Porcelain,Clorado Light Summer,600/600,16 mm,slab,fixed,80,2,0.36,YES,name differs from the store listing; mapped by size and thickness in the site
PC-NOORGRIG-600X900-20,,Porcelain,Noor Grigio,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-BODOWHIT-600X900-20,,Porcelain,Bodo White,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-EARTGREY-600X900-20,,Porcelain,Earthcore Grey,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-CLORGREY-600X600-16,,Porcelain,Clorado Dusk Grey,600/600,16 mm,slab,fixed,80,2,0.36,YES,name differs from the store listing; mapped by size and thickness in the site
PC-KANDGREY-600X900-20,,Porcelain,Kandla Grey,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-MERCGREY-600X900-20,,Porcelain,Mercury Grey,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-HEMAWHIT-600X900-20,,Porcelain,Hemalayan White,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-EVERPEAR-600X900-20,,Porcelain,Everest Pearl,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-QUARWHIT-600X900-20,,Porcelain,Quartz White,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-PORCWHIT-600X900-20,,Porcelain,Porcelain White,600/900,20 mm,slab,fixed,40,0,0.54,NO,
PC-RAAJGREE-600X900-20,,Porcelain,Raaj Green,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-ANTHRACI-600X900-16,,Porcelain,Anthracite,600/900,16 mm,slab,fixed,52,2,1.08,NO,
PC-HSBIEG-600X900-20,,Porcelain,HS  Biege,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-CRYSBATC-600X900-20,,Porcelain,Crystal Griss old batch,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-RUSTSLAT-600X900-20,,Porcelain,Rust Slate,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-COPP1-600X900-20,,Porcelain,Copper Slate batch 1,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-COPP2-600X900-20,,Porcelain,Copper Slate batch 2,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-EARTGREY-600X900-16,,Porcelain,Earthcore Grey,600/900,16 mm,slab,fixed,52,2,1.08,NO,
PC-RAVABLAC-600X600-20,,Porcelain,Ravan Black,600/600,20 mm,slab,fixed,78,2,0.36,YES,
PC-SEASAND-600X900-20,,Porcelain,Sea Sand,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-HEMABATC-600X900-20,,Porcelain,Hemalayan White Old Batch,600/900,20 mm,slab,fixed,40,0,0.54,NO,
PC-QUARGREY-600X900-20,,Porcelain,Quarts Grey,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-COPPSLAT-600X900-20,,Porcelain,Copper Slate,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-KANDSP91-600X900-20,,Porcelain,Kandla Grey SP91260224,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-MOUNPEAR-600X900-20,,Porcelain,Mountain Pearl,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-KANDBATC-600X900-20,,Porcelain,Kandla Grey Old batch,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-QUARNEW-600X900-20,,Porcelain,Quarts White New,600/900,20 mm,slab,fixed,40,0,0.54,YES,
PC-KANDNEW-600X900-20,,Porcelain,Kandla Grey New(260522),600/900,20 mm,slab,fixed,40,0,0.54,YES,
SS-KANDGREY-MIX-18,600/900,sandstone,Kandla Grey,600/900,18 mm,slab,mixed,13,0,0.54,NO,
SS-KANDGREY-MIX-18,600/600,sandstone,Kandla Grey,600/600,18 mm,slab,mixed,13,0,0.36,NO,
SS-KANDGREY-MIX-18,290/600,sandstone,Kandla Grey,290/600,18 mm,slab,mixed,13,0,0.17,NO,
SS-KANDGREY-MIX-18,290/290,sandstone,Kandla Grey,290/290,18 mm,slab,mixed,9,0,0.08,NO,
SS-KANDGREY-MIX-22,600/900,sandstone,Kandla Grey,600/900,22 mm,slab,mixed,16,0,0.54,YES,
SS-KANDGREY-MIX-22,600/600,sandstone,Kandla Grey,600/600,22 mm,slab,mixed,16,0,0.36,YES,
SS-KANDGREY-MIX-22,290/600,sandstone,Kandla Grey,290/600,22 mm,slab,mixed,16,0,0.17,YES,
SS-KANDGREY-MIX-22,290/290,sandstone,Kandla Grey,290/290,22 mm,slab,mixed,12,0,0.08,YES,
SS-AUTOBROW-MIX-22,600/900,sandstone,Autom Brown,600/900,22 mm,slab,mixed,16,0,0.54,YES,name differs from the store listing; mapped by size and thickness in the site
SS-AUTOBROW-MIX-22,600/600,sandstone,Autom Brown,600/600,22 mm,slab,mixed,16,0,0.36,YES,name differs from the store listing; mapped by size and thickness in the site
SS-AUTOBROW-MIX-22,290/600,sandstone,Autom Brown,290/600,22 mm,slab,mixed,16,0,0.17,YES,name differs from the store listing; mapped by size and thickness in the site
SS-AUTOBROW-MIX-22,290/290,sandstone,Autom Brown,290/290,22 mm,slab,mixed,12,0,0.08,YES,name differs from the store listing; mapped by size and thickness in the site
SS-RAJGREE-MIX-22,600/900,sandstone,Raj Green,600/900,22 mm,slab,mixed,16,0,0.54,YES,
SS-RAJGREE-MIX-22,600/600,sandstone,Raj Green,600/600,22 mm,slab,mixed,16,0,0.36,YES,
SS-RAJGREE-MIX-22,290/600,sandstone,Raj Green,290/600,22 mm,slab,mixed,16,0,0.17,YES,
SS-RAJGREE-MIX-22,290/290,sandstone,Raj Green,290/290,22 mm,slab,mixed,12,0,0.08,YES,
SS-AUTOBROW-MIX-18,600/900,sandstone,Autom Brown,600/900,18 mm,slab,mixed,15,0,0.54,NO,name differs from the store listing; mapped by size and thickness in the site
SS-AUTOBROW-MIX-18,600/600,sandstone,Autom Brown,600/600,18 mm,slab,mixed,15,0,0.36,NO,name differs from the store listing; mapped by size and thickness in the site
SS-AUTOBROW-MIX-18,290/600,sandstone,Autom Brown,290/600,18 mm,slab,mixed,15,0,0.17,NO,name differs from the store listing; mapped by size and thickness in the site
SS-AUTOBROW-MIX-18,290/290,sandstone,Autom Brown,290/290,18 mm,slab,mixed,11,0,0.08,NO,name differs from the store listing; mapped by size and thickness in the site
SS-RAJGREE-MIX-18,600/900,sandstone,Raj Green,600/900,18 mm,slab,mixed,15,0,0.54,NO,
SS-RAJGREE-MIX-18,600/600,sandstone,Raj Green,600/600,18 mm,slab,mixed,15,0,0.36,NO,
SS-RAJGREE-MIX-18,290/600,sandstone,Raj Green,290/600,18 mm,slab,mixed,15,0,0.17,NO,
SS-RAJGREE-MIX-18,290/290,sandstone,Raj Green,290/290,18 mm,slab,mixed,12,0,0.08,NO,
SS-RIPPBUFF-MIX-18,600/900,sandstone,Rippon Buff,600/900,18 mm,slab,mixed,15,0,0.54,NO,
SS-RIPPBUFF-MIX-18,600/600,sandstone,Rippon Buff,600/600,18 mm,slab,mixed,15,0,0.36,NO,
SS-RIPPBUFF-MIX-18,290/600,sandstone,Rippon Buff,290/600,18 mm,slab,mixed,15,0,0.17,NO,
SS-RIPPBUFF-MIX-18,290/290,sandstone,Rippon Buff,290/290,18 mm,slab,mixed,12,0,0.08,NO,
SS-RIPPBUFF-MIX-22,600/900,sandstone,Rippon Buff,600/900,22 mm,slab,mixed,16,0,0.54,YES,
SS-RIPPBUFF-MIX-22,600/600,sandstone,Rippon Buff,600/600,22 mm,slab,mixed,16,0,0.36,YES,
SS-RIPPBUFF-MIX-22,290/600,sandstone,Rippon Buff,290/600,22 mm,slab,mixed,16,0,0.17,YES,
SS-RIPPBUFF-MIX-22,290/290,sandstone,Rippon Buff,290/290,22 mm,slab,mixed,12,0,0.08,YES,
SS-KANDFIXE-600X900-22,,sandstone,Kandla Grey Fixed,600/900,22 mm,slab,fixed,40,0,0.54,YES,
SS-KANDFIXE-600X900-18,,sandstone,Kandla Grey Fixed,600/900,18 mm,slab,fixed,40,0,0.54,NO,
SS-FOSSMINT-MIX-22,600/900,sandstone,Fossil Mint,600/900,22 mm,slab,mixed,16,0,0.54,NO,
SS-FOSSMINT-MIX-22,600/600,sandstone,Fossil Mint,600/600,22 mm,slab,mixed,16,0,0.36,NO,
SS-FOSSMINT-MIX-22,290/600,sandstone,Fossil Mint,290/600,22 mm,slab,mixed,16,0,0.17,NO,
SS-FOSSMINT-MIX-22,290/290,sandstone,Fossil Mint,290/290,22 mm,slab,mixed,12,0,0.08,NO,
SS-FOSSFIXE-600X900-22,,Sandstone,Fossil Mint fixed,600/900,22 mm,slab,fixed,37,0,0.54,YES,
ST-KANDGREY-20,,Steps,Kandla Grey,300/900,20 mm,slab,fixed,84,2,0.54,YES,
ST-QUARGREY-20,,Steps,Quarts Grey,300/900,20 mm,slab,fixed,84,2,0.54,YES,
GR-SILVGRAN-80,,Granite,Silver Granite,200/300,80 mm,slab,fixed,110,0,0.06,YES,
PC-KAND2606-600X900-20,,Porcelain,Kandla Grey 260619,600/900,20 mm,slab,fixed,40,0,0.54,YES,
